name	country	total
Mehdi Bouaziz	France	  209
Alex Davies	Australia	  119
Timothy Chappell	Australia	  81   (tied)
Angus McInnes	Australia	  81   (tied)
Ramana Kumar	Australia	  80
Elie Rotenberg	France	  79
Alex Moon	Australia	  77
Milton Lim	Australia	  76
Kevin Pan	Australia	  66
Jonathan Kummerfeld	Australia	  58
Vincent Manuceau	France	  53
