name	country	total
Luke Harrison	Australia	  348
Simon Forest	France	  302
Logan Glasson	New Zealand	  298
Dawson Xu	Australia	  249
Duncan Berry	Australia	  245
Kenneth Wong	Australia	  243
Daniel Goldbach	Australia	  232
Evgeny Martynov	Australia	  228
Paul Kirchner	France	  227
Jamie McCloskey	New Zealand	  217
