name	country	total
Patrick Coleman	Australia	  170   (tied)
Thoai Duy Khang Tran	Australia	  170   (tied)
Lucien Pech	France	  165
Nicolas Bonifas	France	  163
Stéphane Caron	France	  160
Mehdi Bouaziz	France	  155
Alex Davies	Australia	  150
Giancarlo Salamanca	Australia	  140
