name	country	total
Ishraq Huda	Australia	300
Michael Chen	Australia	280
Ray Li	Australia	280
Oliver Fisher	Australia	240
Declan McDonnell	Australia	187
Daaron Chiu	Australia	167
Linh Ta	New Zealand	167
Donny Yang	Australia	152
Adele Jackson	Australia	150
David Cheikhi	France	147
Martin Mérafina	France	147
Jerry Mao	Australia	146
