name	country	total
Daniel Berger	Australia	  341
Timothée Lacroix	France	  328
Ismael Belghiti	France	  246
Simon Forest	France	  243   (tied)
Paul Kirchner	France	  243   (tied)
Kenneth Wong	Australia	  214
Nicolas Duhamel	France	  204
Melby Ruarus	New Zealand	  180
Evgeny Martynov	Australia	  179
Jamie McCloskey	New Zealand	  174
