name	country	total
Jarrah Lacko	Australia	  332
Jack Murray	Australia	  307
Louis Jachiet	France	  273
Daniel Axtens	Australia	  205
Harry Slatyer	Australia	  190
Lucas Hosseini	France	  181
Ronald Chan	New Zealand	  141
Willy Mai	Australia	  138
Timothée Lacroix	France	  111
Edwin Flores	New Zealand	  100
