name	country	total
Ray Li	Australia	  280
Tony Sun	New Zealand	  240
Michael Chen	Australia	  240
Ishraq Huda	Australia	  239
Jules Pondard	France	  200
Théophil Bastian	France	  163
David Saulpic	France	  161
Nicholas Laver	Australia	  152
Austin Tankiang	Australia	  152
Sylvain Chiron	France	  125
