name	country	total
Ray Li	Australia	  297
Tony Sun	New Zealand	  269
Joshua Lau	Australia	  251
Simon Mauras	France	  238
Jules Pondard	France	  211
Auguste Olivry	France	  209
Michael Chen	Australia	  204
Charlie Somerville	Australia	  188
Darren Shen	Australia	  140
Logan Glasson	New Zealand	  130
Daniel Goldbach	Australia	  130
Nicholas Laver	Australia	  130
