name	country	total
Ishraq Huda	Australia	293
Greg Omelaenko	Australia	179
Damien Galant	Belgium	172
Arthur Leonard	France	170
Jerry Mao	Australia	160
Clement Chiu	Australia	158
Declan McDonnell	Australia	141
Hayes Choy	Australia	121
Richard Gong	Australia	116
Devin He	Australia	110
Samuel Thompson	Australia	100
Christopher Brown	New Zealand	100
Killian Dengreville	France	100
