name	country	total
Paul Kirchner	France	  240
Gabriel Barrutia	France	  237
Jaloyan Georges-Axel	France	  217
Niel van der Westhuizen	Australia	  208
Evgeny Martynov	Australia	  204
Dawson Xu	Australia	  194
Eliot Courtney	Australia	  191
Jules Pondard	France	  189
Jamie McCloskey	New Zealand	  188
Robert Newey	Australia	  185
